Designator,Footprint,Quantity,Value,LCSC Part #
AE2,Texas_SWRA117D_2.4GHz_Left,1,Antenna,
"C1, C20, C21, C22",1206,4,10u_1206,C466808
C10,0402,1,4p,C311704
C11,0402,1,5p,C1573
"C12, C9",0402,2,20p,C1554
"C13, C15",0402,2,1u,C52923
"C14, C16, C17, C18, C19, C24, C25, C6, C7, C8",0402,10,100n,C307331
C2,0805,1,22u,C602037
C23,0402,1,10u_0402,C315248
C3,0805,1,10u,C15850
"C4, C5",0402,2,100p,C1546
"D1, D2, D4",0603,3,Green_0603,C72043
D3,0603,1,Yellow_0603,C72038
"H1, H2, H3, H4",MountingHole_2.2mm_M2,4,MountingHole,
IC2,WQFN-14-1EP_2.5x2.5mm_P0.5mm_EP1.45x1.45mm,1,FUSB302MPX,C442699
IC3,SOP-8_3.9x4.9mm_P1.27mm,1,CC6904SO-10A,C469389
IC4,SON50P200X300X80-11N,1,TPS62175DQCT,C32097
IC5,QFN50P500X500X90-33N-D,1,ESP32-C3FH4,C2858491
J1,GT-USB-7010A,1,GT-USB-7010,C963370
J2,TC2050-IDC,1,TC2050-IDC,
J3,KF350352P,1,KF350-3.5-2P,C474892
J5,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06,C492405
L1,INDPM4040X300N,1,10uH,C38117
"L2, L3",0402,2,1.8nH,
Q1,SOT95P237X125-3N,1,DTC143ECA-TP,
Q2,DMP3007SFG7,1,DMP3017SFG-7,DMP3017SFG
R1,0402,1,100k,C25741
"R11, R4, R5, R9",0805,4,0,C17477
"R12, R13, R14, R19",0402,4,10k,C25744
"R16, R17, R18, R22",0402,4,2.7k,C25885
R2,0402,1,1M2,C413030
R20,0402,1,1k,C11702
R21,0805,1,DNF_0805,
R3,0402,1,383k,C163468
"R6, R7",0402,2,22,C25092
R8,0402,1,100,C25076
"S1, S2",TS1101CW,2,TS-1101-C-W,C318938
"TP10, TP11, TP3, TP4, TP5, TP8",TestPoint_Pad_D1.0mm,6,TestPoint,
U1,SOT-23-6,1,SRV05-4,
Y2,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,SX25Y040000BF1T-C,C271649
